Campaign name,Ad group,Date,Impressions,Clicks,Average CPC,Cost,Conversions,Conversion value,CTR,Device,Network
New Store Launch,AdGroup - New,2025-01-18,1727,55,1.92,105.6,1,950,3.2%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-18,1867,152,4.01,609.52,10,22000,8.14%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-01-18,2585,151,1.36,205.36,1,700,5.86%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-19,5384,363,2.79,1012.77,5,6000,6.75%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-19,3383,408,1.63,665.04,13,23400,12.07%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-19,1946,82,2.67,218.94,3,2850,4.26%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-19,4239,619,4.93,3051.67,37,81400,14.62%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-19,5010,178,1.11,197.58,5,3500,3.57%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-20,4328,240,2.26,542.4,2,2400,5.55%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-20,50,4,3.45,13.8,1,1800,9.55%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-01-20,2789,251,1.61,404.11,8,7600,9.0%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-20,4316,225,3.64,819.0,10,22000,5.21%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-20,1413,116,1.47,170.52,0,0,8.28%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-21,7092,189,2.43,459.27,1,1200,2.67%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-01-21,2305,242,2.83,684.86,8,14400,10.52%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-01-21,1831,271,1.29,349.59,9,8550,14.8%,Desktop,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-01-21,1367,117,3.6,421.2,10,22000,8.61%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-21,3648,446,1.76,784.96,6,4200,12.24%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-22,3087,268,2.29,613.72,5,6000,8.68%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-22,2511,259,3.04,787.36,9,16200,10.34%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-22,4868,367,2.67,979.89,5,4750,7.56%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-22,4255,331,3.37,1115.47,23,50600,7.79%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-22,3347,285,1.65,470.25,3,2100,8.52%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-23,2185,190,1.95,370.5,4,4800,8.71%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-23,1691,151,3.41,514.91,5,9000,8.94%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-01-23,4847,298,1.83,545.34,7,6650,6.17%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-23,2087,182,5.64,1026.48,7,15400,8.74%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-23,3172,317,1.48,469.16,6,4200,10.01%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-24,50,7,2.56,17.92,0,0,14.84%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-01-24,5589,518,3.34,1730.12,16,28800,9.27%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-01-24,3579,439,1.8,790.2,13,12350,12.28%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-24,6724,609,3.62,2204.58,31,68200,9.07%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-24,2716,273,0.96,262.08,5,3500,10.06%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-25,2412,301,2.37,713.37,2,2400,12.51%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-25,661,65,3.1,201.5,2,3600,9.91%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-01-25,2513,105,3.03,318.15,0,0,4.18%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-25,3005,215,4.23,909.45,8,17600,7.16%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-25,1847,144,1.71,246.24,1,700,7.82%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-26,5172,205,2.6,533.0,1,1200,3.97%,Desktop,YouTube
Valentine Push,AdGroup - Valentine,2025-01-26,805,41,2.49,102.09,0,0,5.17%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-01-26,5545,401,2.01,806.01,6,5700,7.23%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-26,2129,190,3.1,589.0,6,13200,8.97%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-01-26,3986,327,1.89,618.03,3,2100,8.2%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-27,3806,250,2.66,665.0,3,3600,6.57%,Desktop,Google Display
Valentine Push,AdGroup - Valentine,2025-01-27,1039,39,2.68,104.52,1,1800,3.78%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-27,996,127,1.17,148.59,2,1900,12.76%,Desktop,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-27,5461,568,4.07,2311.76,33,72600,10.42%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-27,3378,80,1.31,104.8,0,0,2.37%,Desktop,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-28,4031,146,2.55,372.3,1,1200,3.63%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-01-28,3210,146,3.46,505.16,7,12600,4.56%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-01-28,362,44,2.63,115.72,1,950,12.36%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-01-28,155,5,3.59,17.95,0,0,3.66%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-01-28,2955,94,2.01,188.94,1,700,3.2%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-29,1452,154,2.03,312.62,3,3600,10.66%,Desktop,Google Display
Valentine Push,AdGroup - Valentine,2025-01-29,6865,640,2.23,1427.2,18,32400,9.32%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-01-29,4640,250,1.99,497.5,6,5700,5.39%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-29,5572,501,4.54,2274.54,27,59400,9.0%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-29,1825,123,1.77,217.71,0,0,6.76%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-30,3847,382,2.81,1073.42,7,8400,9.95%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-01-30,2811,70,3.47,242.9,1,1800,2.52%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-01-30,3228,285,1.91,544.35,11,10450,8.84%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-01-30,2959,224,4.87,1090.88,6,13200,7.59%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-30,2142,93,2.26,210.18,1,700,4.37%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-01-31,5087,411,3.02,1241.22,9,10800,8.09%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-01-31,688,66,3.23,213.18,4,7200,9.64%,Tablet,Google Search
New Store Launch,AdGroup - New,2025-01-31,2140,250,2.92,730.0,8,7600,11.73%,Tablet,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-01-31,2372,58,2.66,154.28,4,8800,2.45%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-01-31,899,42,1.44,60.48,0,0,4.74%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-01,2181,37,1.9,70.3,1,1200,1.7%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-02-01,4809,329,3.17,1042.93,14,25200,6.86%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-02-01,4345,478,2.65,1266.7,9,8550,11.0%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-01,2398,139,3.58,497.62,3,6600,5.83%,Tablet,YouTube
Referral Boost,AdGroup - Referral,2025-02-01,5116,326,1.38,449.88,4,2800,6.38%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-02,2504,235,2.6,611.0,4,4800,9.4%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-02,1059,67,3.57,239.19,1,1800,6.41%,Desktop,YouTube
New Store Launch,AdGroup - New,2025-02-02,3762,319,2.26,720.94,3,2850,8.5%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-02,6348,644,3.32,2138.08,29,63800,10.15%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-02-02,50,2,2.23,4.46,0,0,4.89%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-03,3848,356,2.32,825.92,7,8400,9.25%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-02-03,3941,380,3.52,1337.6,17,30600,9.65%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-02-03,4619,323,2.06,665.38,5,4750,7.0%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-03,3960,344,3.91,1345.04,15,33000,8.7%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-02-03,3338,114,2.07,235.98,1,700,3.42%,Mobile,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-04,3733,235,2.77,650.95,3,3600,6.3%,Mobile,YouTube
Valentine Push,AdGroup - Valentine,2025-02-04,3405,209,3.32,693.88,7,12600,6.16%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-02-04,618,64,1.81,115.84,3,2850,10.4%,Tablet,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-02-04,3525,205,4.41,904.05,12,26400,5.82%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-02-04,3136,43,2.06,88.58,0,0,1.39%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-05,4953,156,1.4,218.4,1,1200,3.16%,Desktop,Google Display
Valentine Push,AdGroup - Valentine,2025-02-05,5016,573,3.06,1753.38,31,55800,11.43%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-02-05,1612,47,1.72,80.84,3,2850,2.92%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-02-05,2267,124,4.16,515.84,5,11000,5.49%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-02-05,2989,254,1.96,497.84,4,2800,8.53%,Desktop,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-06,1916,162,3.12,505.44,2,2400,8.47%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-06,4070,222,4.35,965.7,6,10800,5.47%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-02-06,946,86,1.75,150.5,1,950,9.19%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-06,4826,296,2.11,624.56,16,35200,6.14%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-02-06,3891,347,1.79,621.13,1,700,8.94%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-07,2476,185,1.92,355.2,3,3600,7.49%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-02-07,2018,153,3.03,463.59,3,5400,7.61%,Mobile,Google Search
New Store Launch,AdGroup - New,2025-02-07,3204,413,2.26,933.38,11,10450,12.89%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-07,3746,191,5.59,1067.69,13,28600,5.1%,Desktop,Google Display
Referral Boost,AdGroup - Referral,2025-02-07,3870,412,1.61,663.32,1,700,10.65%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-08,3036,347,2.7,936.9,6,7200,11.45%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-08,6607,366,2.89,1057.74,19,34200,5.55%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-02-08,1785,105,2.25,236.25,2,1900,5.91%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-02-08,5027,382,4.2,1604.4,15,33000,7.61%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-02-08,4969,356,2.14,761.84,3,2100,7.17%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-09,4643,379,3.02,1144.58,5,6000,8.17%,Desktop,Google Search
Valentine Push,AdGroup - Valentine,2025-02-09,883,51,3.71,189.21,1,1800,5.78%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-02-09,3602,202,2.16,436.32,5,4750,5.62%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-09,3819,253,2.75,695.75,17,37400,6.63%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-02-09,3257,356,1.17,416.52,2,1400,10.95%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-10,4544,170,3.05,518.5,1,1200,3.76%,Tablet,Google Search
Valentine Push,AdGroup - Valentine,2025-02-10,2271,175,2.38,416.5,6,10800,7.73%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-02-10,4306,143,1.66,237.38,1,950,3.32%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-02-10,4114,268,5.8,1554.4,17,37400,6.54%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-02-10,2878,248,1.68,416.64,0,0,8.64%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-11,2506,243,2.46,597.78,3,3600,9.7%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-11,3542,313,3.11,973.43,13,23400,8.86%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-02-11,4962,537,1.58,848.46,8,7600,10.82%,Mobile,YouTube
Holiday Promo Q4,AdGroup - Holiday,2025-02-11,3748,207,4.98,1030.86,7,15400,5.55%,Mobile,Google Display
Referral Boost,AdGroup - Referral,2025-02-11,3087,245,1.93,472.85,2,1400,7.95%,Mobile,YouTube
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-12,2659,204,2.6,530.4,4,4800,7.7%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-02-12,4007,496,2.47,1225.12,15,27000,12.4%,Mobile,YouTube
New Store Launch,AdGroup - New,2025-02-12,4841,326,2.14,697.64,8,7600,6.74%,Desktop,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-12,5486,607,3.09,1875.63,22,48400,11.07%,Desktop,Google Search
Referral Boost,AdGroup - Referral,2025-02-12,3108,244,1.74,424.56,2,1400,7.88%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-13,3356,162,3.28,531.36,2,2400,4.84%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-13,5796,610,2.76,1683.6,23,41400,10.53%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-02-13,6711,411,1.99,817.89,7,6650,6.14%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-13,4867,721,5.24,3778.04,26,57200,14.82%,Tablet,Google Search
Referral Boost,AdGroup - Referral,2025-02-13,4179,408,1.9,775.2,3,2100,9.78%,Desktop,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-14,3049,279,2.48,691.92,3,3600,9.16%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-14,1907,153,4.09,625.77,5,9000,8.04%,Mobile,Google Display
New Store Launch,AdGroup - New,2025-02-14,2428,66,1.95,128.7,2,1900,2.74%,Mobile,Google Search
Holiday Promo Q4,AdGroup - Holiday,2025-02-14,3094,176,4.36,767.36,9,19800,5.7%,Mobile,YouTube
Referral Boost,AdGroup - Referral,2025-02-14,5429,394,1.59,626.46,4,2800,7.27%,Tablet,Google Display
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-15,3428,262,2.52,660.24,2,2400,7.65%,Mobile,Google Display
Valentine Push,AdGroup - Valentine,2025-02-15,5057,333,3.02,1005.66,11,19800,6.6%,Desktop,Google Search
New Store Launch,AdGroup - New,2025-02-15,4460,295,2.5,737.5,7,6650,6.62%,Mobile,Google Display
Holiday Promo Q4,AdGroup - Holiday,2025-02-15,6667,252,4.53,1141.56,16,35200,3.79%,Mobile,Google Search
Referral Boost,AdGroup - Referral,2025-02-15,2230,170,1.75,297.5,2,1400,7.63%,Mobile,Google Search
Chiffon Brand Awareness,AdGroup - Chiffon,2025-02-16,5522,134,2.66,356.44,1,1200,2.44%,Mobile,Google Search
Valentine Push,AdGroup - Valentine,2025-02-16,3330,417,2.85,1188.45,19,34200,12.53%,Tablet,Google Search
New Store Launch,AdGroup - New,2025-02-16,3787,223,1.35,301.05,2,1900,5.9%,Mobile,YouTube
